iter	Passed	Remaining
0	6	6108
1	11	5924
2	19	6401
3	24	6021
4	29	5910
5	35	5865
6	41	5872
7	46	5823
8	52	5794
9	58	5746
10	63	5727
11	69	5715
12	75	5699
13	80	5672
14	85	5646
15	91	5639
16	96	5607
17	104	5712
18	111	5753
19	116	5713
20	121	5660
21	126	5627
22	131	5599
23	137	5586
24	142	5561
25	147	5541
26	152	5510
27	158	5493
28	163	5466
29	167	5429
30	172	5403
31	178	5389
32	183	5365
33	188	5368
34	194	5353
35	198	5327
36	203	5303
37	209	5293
38	214	5276
39	219	5257
40	224	5252
41	229	5233
42	234	5213
43	239	5210
44	245	5207
45	250	5196
46	255	5186
47	260	5174
48	265	5153
49	270	5134
50	274	5110
51	279	5096
52	284	5083
53	289	5074
54	294	5060
55	299	5044
56	304	5035
57	309	5019
58	314	5012
59	319	4999
60	324	4989
61	329	4983
62	334	4968
63	338	4951
64	343	4936
65	347	4920
66	352	4914
67	357	4901
68	361	4883
69	367	4875
70	372	4874
71	377	4866
72	382	4857
73	387	4852
74	392	4840
75	397	4832
76	402	4824
77	407	4819
78	412	4808
79	417	4798
80	422	4793
81	427	4789
82	432	4777
83	437	4768
84	441	4757
85	447	4753
86	452	4745
87	456	4734
88	461	4723
89	466	4719
90	472	4715
91	476	4706
92	481	4696
93	486	4688
94	491	4681
95	495	4670
96	501	4666
97	506	4660
98	511	4653
99	515	4640
100	520	4635
101	525	4623
102	530	4618
103	535	4609
104	539	4602
105	544	4595
106	549	4590
107	555	4586
108	560	4577
109	565	4572
110	570	4569
111	575	4559
112	579	4550
113	584	4544
114	589	4535
115	593	4525
116	598	4519
117	604	4517
118	609	4510
119	613	4501
120	619	4497
121	624	4492
122	629	4487
123	634	4485
124	639	4478
125	644	4470
126	649	4463
127	654	4461
128	660	4459
129	665	4454
130	672	4457
131	677	4452
132	682	4447
133	687	4444
134	692	4440
135	698	4437
136	704	4436
137	709	4431
138	714	4427
139	720	4424
140	724	4415
141	730	4411
142	736	4412
143	741	4406
144	747	4408
145	753	4406
146	758	4399
147	763	4394
148	769	4392
149	773	4385
150	778	4378
151	785	4380
152	790	4374
153	795	4370
154	801	4369
155	806	4362
156	811	4355
157	817	4356
158	822	4350
159	827	4342
160	833	4341
161	838	4335
162	842	4327
163	848	4324
164	853	4321
165	858	4314
166	863	4307
167	868	4299
168	872	4290
169	877	4286
170	883	4282
171	888	4276
172	894	4273
173	898	4267
174	904	4261
175	908	4255
176	914	4251
177	919	4247
178	924	4242
179	930	4237
180	935	4231
181	939	4224
182	944	4218
183	949	4210
184	954	4205
185	959	4198
186	964	4193
187	970	4191
188	975	4185
189	980	4182
190	985	4174
191	990	4168
192	995	4161
193	1000	4155
194	1005	4150
195	1010	4144
196	1014	4137
197	1019	4130
198	1024	4123
199	1029	4117
200	1034	4110
201	1039	4105
202	1044	4099
203	1049	4093
204	1054	4089
205	1059	4084
206	1064	4077
207	1068	4068
208	1074	4064
209	1079	4059
210	1083	4052
211	1088	4045
212	1094	4042
213	1099	4037
214	1103	4027
215	1107	4018
216	1111	4011
217	1115	4002
218	1119	3992
219	1123	3982
220	1128	3976
221	1131	3966
222	1135	3955
223	1139	3948
224	1145	3945
225	1150	3940
226	1156	3936
227	1160	3929
228	1165	3923
229	1170	3918
230	1175	3912
231	1180	3906
232	1185	3901
233	1190	3895
234	1198	3899
235	1208	3913
236	1217	3919
237	1223	3917
238	1234	3929
239	1240	3927
240	1246	3924
241	1250	3917
242	1256	3912
243	1261	3907
244	1266	3902
245	1271	3897
246	1276	3891
247	1281	3885
248	1285	3877
249	1290	3871
250	1295	3865
251	1300	3859
252	1304	3852
253	1309	3846
254	1314	3839
255	1318	3833
256	1324	3827
257	1328	3821
258	1333	3815
259	1338	3809
260	1343	3803
261	1348	3797
262	1353	3791
263	1358	3786
264	1363	3782
265	1369	3778
266	1374	3774
267	1380	3769
268	1385	3764
269	1390	3760
270	1395	3754
271	1400	3749
272	1405	3744
273	1411	3739
274	1416	3735
275	1422	3731
276	1427	3725
277	1432	3720
278	1437	3713
279	1442	3710
280	1447	3704
281	1452	3698
282	1457	3693
283	1462	3686
284	1467	3682
285	1472	3676
286	1477	3671
287	1482	3664
288	1486	3658
289	1492	3653
290	1497	3649
291	1502	3643
292	1507	3638
293	1512	3632
294	1517	3627
295	1523	3622
296	1527	3616
297	1532	3610
298	1537	3605
299	1542	3599
300	1547	3593
301	1552	3588
302	1557	3582
303	1562	3576
304	1566	3570
305	1571	3565
306	1577	3560
307	1582	3554
308	1587	3549
309	1591	3543
310	1596	3537
311	1601	3532
312	1607	3528
313	1612	3522
314	1617	3516
315	1622	3511
316	1627	3506
317	1631	3499
318	1637	3494
319	1642	3491
320	1647	3485
321	1653	3480
322	1658	3475
323	1663	3470
324	1668	3465
325	1674	3461
326	1679	3456
327	1684	3451
328	1690	3447
329	1695	3442
330	1699	3435
331	1705	3432
332	1711	3427
333	1716	3421
334	1721	3418
335	1726	3412
336	1732	3407
337	1737	3403
338	1742	3397
339	1747	3391
340	1753	3387
341	1758	3383
342	1764	3380
343	1770	3376
344	1776	3372
345	1781	3366
346	1786	3362
347	1792	3358
348	1797	3352
349	1803	3348
350	1808	3343
351	1813	3337
352	1819	3334
353	1824	3330
354	1829	3324
355	1835	3320
356	1841	3316
357	1846	3310
